iterations,fitness,time,fevals
0,20.0,0.000987303000002,683
10,20.0,0.001815482,1251
20,21.0,0.00275535600001,1835
30,21.0,0.00352137700001,2420
40,23.0,0.004332598,2995
50,24.0,0.005060536,3564
60,23.0,0.00581131200001,4125
70,24.0,0.017985871,4702
80,24.0,0.018793552,5276
90,26.0,0.019469059,5857
100,29.0,0.020145844,6439
110,26.0,0.020940381,7015
120,25.0,0.021718633,7578
130,26.0,0.02250744,8146
140,26.0,0.023209986,8721
150,30.0,0.023882797,9292
160,28.0,0.024779787,9859
170,28.0,0.025466476,10421
180,29.0,0.026169912,10996
190,30.0,0.026784906,11569
200,29.0,0.027381138,12145
210,30.0,0.027981893,12732
220,29.0,0.028600451,13299
230,29.0,0.029296417,13885
240,28.0,0.029888688,14451
250,30.0,0.030607439,15026
260,31.0,0.031327642,15596
270,32.0,0.032010401,16180
280,32.0,0.033096654,16748
290,31.0,0.033942392,17320
300,35.0,0.035301375,17902
310,34.0,0.037478907,18485
320,34.0,0.040701226,19057
330,35.0,0.041849636,19630
340,35.0,0.0447186,20215
350,35.0,0.045899961,20797
360,36.0,0.047669516,21388
370,37.0,0.04902888,21964
380,36.0,0.050172134,22547
390,36.0,0.052234722,23122
400,36.0,0.054640203,23704
410,38.0,0.055973129,24270
420,37.0,0.057532075,24849
430,37.0,0.059042487,25429
440,39.0,0.061495816,26005
450,38.0,0.064024572,26573
460,39.0,0.065023042,27148
470,39.0,0.066995917,27736
480,42.0,0.070004752,28305
490,42.0,0.071735464,28880
500,42.0,0.074022331,29452
510,42.0,0.077665507,30025
520,41.0,0.079080558,30602
530,45.0,0.080761284,31182
540,46.0,0.082485077,31759
550,45.0,0.088611015,32321
560,44.0,0.089599166,32909
570,44.0,0.091887414,33484
580,42.0,0.093466083,34076
590,43.0,0.095601733,34655
600,44.0,0.097244361,35236
610,44.0,0.099200974,35807
620,44.0,0.10132797,36392
630,47.0,0.103570982,36965
640,45.0,0.106953501,37553
650,47.0,0.107912035,38124
660,48.0,0.109278289,38697
670,51.0,0.111212892,39263
680,49.0,0.111894373,39840
690,50.0,0.112537918,40424
700,50.0,0.113278552,40997
710,51.0,0.113937396,41568
720,54.0,0.114583325,42154
730,57.0,0.118447904,42737
740,54.0,0.119891712,43314
750,54.0,0.120596814,43891
760,61.0,0.1212415,44481
770,57.0,0.12186136,45053
780,58.0,0.122550046,45630
790,61.0,0.123199631,46210
800,62.0,0.12381394,46776
810,62.0,0.124418244,47362
820,64.0,0.12502712,47941
830,62.0,0.125604638,48502
840,63.0,0.12633829,49070
850,64.0,0.126948905,49648
860,61.0,0.127634422,50230
870,64.0,0.128361168,50804
880,64.0,0.129228726,51383
890,63.0,0.130018792,51967
900,64.0,0.130627504,52548
910,62.0,0.131215708,53128
920,63.0,0.131795596,53716
930,65.0,0.132576526,54293
940,64.0,0.133214477,54870
950,63.0,0.134100341,55449
960,63.0,0.134709074,56042
970,65.0,0.135416252,56627
980,64.0,0.135963552,57204
990,64.0,0.136515864,57762
1000,64.0,0.13704458,58334
1010,63.0,0.137576418,58907
1020,64.0,0.138175418,59485
1030,65.0,0.138745314,60065
1040,64.0,0.139398067,60639
1050,63.0,0.140179822,61211
1060,63.0,0.141159368,61784
1070,61.0,0.141749361,62367
1080,60.0,0.142331301,62925
1090,61.0,0.142894254,63490
1100,60.0,0.143450587,64065
1110,60.0,0.144037052,64656
1120,62.0,0.144850707,65225
1130,59.0,0.145490546,65793
1140,61.0,0.146706515,66384
1150,61.0,0.147269972,66955
1160,62.0,0.14798958,67528
1170,62.0,0.148786951,68115
1180,63.0,0.149350461,68685
1190,64.0,0.15030922,69269
1200,64.0,0.150970299,69854
1210,61.0,0.151863063,70432
1220,61.0,0.152638435,71019
1230,63.0,0.153424082,71593
1240,64.0,0.154187146,72170
1250,63.0,0.154911544,72760
1260,64.0,0.155492971,73339
1270,64.0,0.156286141,73914
1280,63.0,0.156922654,74481
1290,63.0,0.157466839,75057
1300,63.0,0.158345088,75627
1310,63.0,0.159254962,76223
1320,63.0,0.159779766,76796
1330,64.0,0.16029391,77360
1340,63.0,0.160819511,77934
1350,63.0,0.161403324,78506
1360,62.0,0.1619208,79074
1370,62.0,0.162642867,79649
1380,60.0,0.163665159,80228
1390,62.0,0.164266496,80800
1400,62.0,0.165315281,81387
1410,63.0,0.165901049,81982
1420,62.0,0.16660479,82544
1430,62.0,0.167198636,83116
1440,61.0,0.167800672,83691
1450,63.0,0.168656696,84275
1460,59.0,0.169567305,84855
1470,62.0,0.173306436,85418
1480,59.0,0.174710594,86008
1490,59.0,0.17615308,86574
1500,59.0,0.178015811,87151
1510,60.0,0.180586231,87728
1520,59.0,0.184357906,88300
1530,59.0,0.18767392,88884
1540,59.0,0.190190984,89453
1550,59.0,0.192623388,90032
1560,60.0,0.196429354,90602
1570,61.0,0.198477721,91171
1580,61.0,0.20139724,91737
1590,61.0,0.202396089,92319
1600,62.0,0.209128934,92894
1610,63.0,0.210451975,93449
1620,63.0,0.212070478,94027
1630,62.0,0.213107201,94608
1640,61.0,0.219087555,95192
1650,62.0,0.220849104,95763
1660,63.0,0.222720158,96338
1670,63.0,0.223962598,96923
1680,63.0,0.229671653,97493
1690,64.0,0.230743844,98079
1700,61.0,0.233319936,98649
1710,61.0,0.234551807,99217
1720,63.0,0.237617579,99792
1730,65.0,0.2387586,100354
1740,65.0,0.239846548,100941
