iterations,fitness,time,fevals
0,20.0,0.004699856,673
10,25.0,0.010072733,1240
20,24.0,0.014081395,1819
30,27.0,0.018655328,2393
40,27.0,0.021281466,2968
50,28.0,0.02630404,3538
60,28.0,0.030120943,4122
70,29.0,0.031847343,4686
80,29.0,0.037106688,5261
90,29.0,0.038241633,5846
100,29.0,0.040641549,6433
110,29.0,0.042584029,7014
120,32.0,0.04444242,7570
130,31.0,0.048252669,8144
140,32.0,0.049667582,8733
150,31.0,0.051476568,9318
160,31.0,0.052762211,9896
170,31.0,0.05368288,10464
180,32.0,0.054502798,11036
190,33.0,0.055257153,11610
200,32.0,0.056150064,12186
210,32.0,0.057730125,12769
220,32.0,0.05856627,13337
230,33.0,0.05921263,13915
240,31.0,0.059897316,14489
250,33.0,0.060648055,15054
260,33.0,0.061351972,15642
270,35.0,0.06199838,16220
280,35.0,0.062651686,16798
290,36.0,0.063326162,17376
300,33.0,0.064104386,17952
310,36.0,0.064819018,18533
320,39.0,0.065507295,19117
330,38.0,0.066160225,19691
340,37.0,0.066836098,20264
350,40.0,0.067746556,20852
360,39.0,0.068389491,21421
370,38.0,0.069297503,22011
380,38.0,0.069968863,22595
390,37.0,0.070724731,23168
400,38.0,0.071399097,23751
410,38.0,0.072153837,24328
420,38.0,0.073013549,24913
430,41.0,0.073672488,25482
440,39.0,0.074467507,26050
450,40.0,0.075219302,26623
460,40.0,0.07590357,27214
470,43.0,0.076756568,27791
480,45.0,0.07743202,28360
490,44.0,0.078050342,28935
500,45.0,0.078716756,29518
510,45.0,0.080348687,30101
520,45.0,0.081149335,30664
530,46.0,0.081786024,31238
540,44.0,0.082744788,31798
550,44.0,0.083401402,32387
560,45.0,0.084042894,32971
570,44.0,0.084625088,33540
580,43.0,0.085258892,34119
590,44.0,0.085840767,34697
600,44.0,0.08648634,35268
610,43.0,0.088768446,35868
620,44.0,0.090430572,36444
630,44.0,0.091070328,37026
640,43.0,0.09168182,37595
650,43.0,0.09268617,38179
660,44.0,0.093326196,38767
670,45.0,0.094027349,39329
680,44.0,0.094659563,39912
690,44.0,0.095292911,40481
700,47.0,0.095907238,41057
710,47.0,0.096544396,41628
720,47.0,0.097531688,42205
730,47.0,0.098224512,42784
740,48.0,0.099010173,43365
750,44.0,0.099705986,43939
760,44.0,0.100410936,44507
770,44.0,0.101036578,45096
780,43.0,0.101836943,45660
790,43.0,0.102509393,46232
800,44.0,0.103257578,46811
810,45.0,0.103854531,47389
820,45.0,0.104698479,47971
830,46.0,0.105344459,48539
840,46.0,0.105912185,49113
850,45.0,0.106507561,49686
860,46.0,0.107095639,50256
870,44.0,0.107749454,50837
880,45.0,0.108319636,51407
890,45.0,0.10912512,51973
900,44.0,0.109712029,52549
910,45.0,0.110461532,53134
920,49.0,0.111105474,53703
930,46.0,0.111676289,54264
940,46.0,0.112465883,54827
950,45.0,0.113118466,55400
960,47.0,0.113695242,55970
970,48.0,0.11465011,56546
980,48.0,0.115232442,57121
990,48.0,0.115758682,57697
1000,46.0,0.11630865,58270
1010,54.0,0.117018208,58835
1020,47.0,0.11758493,59413
1030,50.0,0.118185221,59992
1040,53.0,0.11874739,60577
1050,61.0,0.119412529,61157
1060,53.0,0.120069051,61733
1070,52.0,0.120735601,62319
1080,58.0,0.121279915,62906
1090,55.0,0.121895153,63480
1100,51.0,0.122462191,64076
1110,51.0,0.123041224,64660
1120,51.0,0.123625981,65226
1130,50.0,0.124281189,65799
1140,53.0,0.124878995,66371
1150,52.0,0.125701375,66947
1160,52.0,0.127157544,67523
1170,52.0,0.129928472,68092
1180,52.0,0.132102266,68680
1190,51.0,0.133604544,69257
1200,54.0,0.138550566,69828
