iterations,fitness,time,fevals
0,23.0,0.000689451,466
10,22.0,0.001373394,837
20,26.0,0.001931805,1208
30,28.0,0.002452866,1570
40,30.0,0.00289373099999,1938
50,30.0,0.00331883099999,2311
60,28.0,0.00374791899999,2673
70,33.0,0.00430074299999,3046
80,33.0,0.00475273099999,3413
90,33.0,0.00532937199998,3776
100,35.0,0.00593712999999,4149
110,35.0,0.00652662599998,4518
120,36.0,0.00772433199999,4882
130,36.0,0.00813449499999,5251
140,35.0,0.00856545799999,5619
150,36.0,0.00903456699999,5990
160,36.0,0.009455851,6351
170,36.0,0.009856894,6717
180,36.0,0.010264213,7082
190,37.0,0.01066204,7438
200,38.0,0.011058218,7798
210,37.0,0.011466626,8167
220,39.0,0.011884238,8536
230,40.0,0.012337422,8898
240,40.0,0.012828608,9267
250,40.0,0.013293943,9630
260,41.0,0.013745252,10003
270,41.0,0.014164701,10369
280,41.0,0.014717631,10734
290,42.0,0.015140588,11101
300,42.0,0.015800113,11472
310,44.0,0.016445104,11843
320,44.0,0.016880865,12203
330,44.0,0.017304413,12566
340,45.0,0.017726772,12940
350,45.0,0.018132402,13304
360,45.0,0.018578811,13666
370,45.0,0.018980832,14025
380,45.0,0.019568707,14391
390,45.0,0.019987946,14758
400,45.0,0.020388626,15123
410,45.0,0.020789768,15490
420,45.0,0.021204371,15863
430,45.0,0.021598893,16225
440,45.0,0.02201195,16595
450,46.0,0.022419058,16961
460,47.0,0.022892989,17328
470,47.0,0.023306014,17696
480,47.0,0.023696078,18071
490,46.0,0.024084429,18435
500,46.0,0.024480171,18802
510,47.0,0.024893015,19171
520,47.0,0.0252835,19532
530,47.0,0.025723163,19902
540,48.0,0.026303449,20264
550,47.0,0.026940631,20634
560,48.0,0.027393494,21002
570,47.0,0.027934373,21370
580,47.0,0.028368736,21730
590,47.0,0.028773389,22099
600,49.0,0.029144693,22462
610,46.0,0.029551657,22828
620,46.0,0.030017948,23192
630,48.0,0.030590168,23553
640,50.0,0.031080873,23920
650,49.0,0.031466181,24293
660,49.0,0.031996013,24661
670,49.0,0.032608352,25035
680,49.0,0.033523812,25404
690,49.0,0.035685556,25767
700,49.0,0.038925943,26145
710,49.0,0.040320724,26508
720,48.0,0.041991854,26876
730,48.0,0.043214109,27242
740,48.0,0.045495024,27607
750,49.0,0.048966455,27976
760,49.0,0.052077709,28339
770,49.0,0.054730746,28706
780,49.0,0.056039569,29078
790,50.0,0.057763561,29446
800,52.0,0.060628253,29819
810,51.0,0.063398818,30193
820,50.0,0.065636815,30565
830,50.0,0.06710628,30937
840,49.0,0.071624408,31304
850,51.0,0.072389544,31667
860,52.0,0.07425488,32044
870,52.0,0.075588024,32414
880,52.0,0.076689744,32783
890,52.0,0.082055162,33146
900,52.0,0.083854718,33518
910,52.0,0.086098831,33889
920,53.0,0.088361759,34267
930,52.0,0.090399511,34629
940,52.0,0.09374199,34992
950,52.0,0.096352449,35362
960,52.0,0.098044834,35732
970,52.0,0.099543953,36101
980,52.0,0.102993928,36465
990,53.0,0.105121192,36826
1000,53.0,0.106426443,37195
1010,52.0,0.107225774,37560
1020,52.0,0.107973816,37934
1030,53.0,0.108747399,38307
1040,53.0,0.109525528,38675
