iterations,fitness,time,fevals
0,20.0,0.000432154000002,290
10,24.0,0.001082866,473
20,24.0,0.00151238799999,662
30,25.0,0.00194186799999,847
40,25.0,0.00224754999999,1029
50,25.0,0.00266251699999,1213
60,25.0,0.003216194,1401
70,25.0,0.00350188399999,1591
80,26.0,0.00380749399999,1773
90,27.0,0.004095185,1958
100,27.0,0.004382769,2147
110,28.0,0.00476846399999,2332
120,28.0,0.00513968799999,2516
130,28.0,0.00546266399999,2705
140,28.0,0.00579171899999,2889
150,29.0,0.00623443599999,3077
160,30.0,0.00660203699999,3265
170,30.0,0.00690442299999,3457
180,32.0,0.00721302299998,3648
190,31.0,0.00751172999998,3832
200,31.0,0.00786921799998,4025
210,31.0,0.00816265099999,4217
220,30.0,0.00845554099998,4402
230,32.0,0.00874439799998,4595
240,32.0,0.013210941,4771
250,32.0,0.013561436,4963
260,32.0,0.01407747,5150
270,32.0,0.014404237,5333
280,32.0,0.014733861,5515
290,34.0,0.015048006,5702
300,34.0,0.015377427,5889
310,32.0,0.015720884,6074
320,32.0,0.016051632,6254
330,32.0,0.016379132,6442
340,32.0,0.016700315,6626
350,32.0,0.017022538,6815
360,33.0,0.017380021,7005
370,32.0,0.017681512,7193
380,32.0,0.017981772,7382
390,32.0,0.018410903,7568
400,32.0,0.018748496,7754
410,33.0,0.019075905,7944
420,32.0,0.019414279,8136
430,32.0,0.019753747,8325
440,33.0,0.020059293,8514
450,34.0,0.020502924,8700
460,34.0,0.020829466,8892
470,34.0,0.021267775,9074
480,34.0,0.021602534,9254
490,35.0,0.022142605,9438
500,35.0,0.022641129,9625
510,35.0,0.023150852,9808
520,35.0,0.024539283,9992
530,35.0,0.025182186,10173
540,34.0,0.02755529,10359
550,34.0,0.028837272,10544
560,34.0,0.030859132,10729
570,35.0,0.032979273,10913
580,35.0,0.035589682,11103
590,35.0,0.036055849,11288
600,36.0,0.036841482,11472
610,35.0,0.038069759,11660
620,36.0,0.039039872,11846
630,36.0,0.039689293,12031
640,36.0,0.041236167,12217
650,36.0,0.043404268,12405
660,36.0,0.043778277,12594
670,36.0,0.044116956,12781
680,36.0,0.044517107,12973
690,35.0,0.044917582,13159
700,36.0,0.045260108,13346
710,36.0,0.045640295,13530
720,36.0,0.045972974,13714
730,35.0,0.046309183,13900
740,35.0,0.046732943,14083
750,35.0,0.047280439,14267
760,35.0,0.047759728,14456
770,36.0,0.04825229,14640
780,35.0,0.048701725,14827
790,35.0,0.049069712,15016
800,35.0,0.049734282,15196
810,36.0,0.050814476,15381
820,35.0,0.052234973,15561
830,36.0,0.052585396,15745
840,36.0,0.053058463,15924
850,36.0,0.053385056,16113
860,36.0,0.053732928,16300
870,36.0,0.05407549,16484
880,36.0,0.0544098,16670
890,36.0,0.054747161,16855
900,36.0,0.055091321,17041
910,35.0,0.055411538,17229
920,36.0,0.055825866,17417
930,36.0,0.056174027,17600
940,36.0,0.05651949,17783
950,36.0,0.05699667,17969
960,36.0,0.057404715,18157
970,36.0,0.057737026,18346
980,36.0,0.058070963,18537
990,36.0,0.0583914,18715
1000,36.0,0.058870932,18909
1010,36.0,0.059229167,19096
1020,36.0,0.059553875,19278
1030,36.0,0.059931051,19461
1040,36.0,0.060262585,19652
1050,36.0,0.0605882,19838
1060,37.0,0.060897049,20019
