iterations,fitness,time,fevals
0,121.0,0.000706585,731
10,122.0,0.001333846,1363
20,119.0,0.001964002,1993
30,119.0,0.002659672,2623
40,120.0,0.00323251,3251
50,121.0,0.00394929,3890
60,121.0,0.00483937,4523
70,119.0,0.00546607,5158
80,121.0,0.006097347,5788
90,121.0,0.006726165,6411
100,121.0,0.007499012,7041
110,122.0,0.008161258,7677
120,120.0,0.00875176,8325
130,120.0,0.009398883,8965
140,120.0,0.009995773,9597
150,121.0,0.010572375,10237
160,119.0,0.011340787,10870
170,119.0,0.012044272,11502
180,120.0,0.012753569,12134
190,119.0,0.013405724,12767
200,120.0,0.014032254,13387
210,121.0,0.014688436,14011
220,121.0,0.015384801,14638
230,121.0,0.016380197,15262
240,121.0,0.017008917,15899
250,121.0,0.017629545,16524
260,122.0,0.018239214,17146
270,122.0,0.018825502,17773
280,122.0,0.019401736,18395
290,123.0,0.020140877,19020
300,123.0,0.020767675,19641
310,123.0,0.021467968,20272
320,122.0,0.022132098,20918
330,122.0,0.022694645,21561
340,123.0,0.023250685,22185
350,124.0,0.023821496,22822
360,123.0,0.024526676,23460
370,123.0,0.025322957,24096
380,123.0,0.025872185,24716
390,122.0,0.026493326,25346
400,122.0,0.027218392,25968
410,123.0,0.027862198,26603
420,122.0,0.028450022,27230
430,122.0,0.029070986,27863
440,122.0,0.029642275,28503
450,121.0,0.030228934,29134
460,122.0,0.03087763,29749
470,122.0,0.031428061,30375
480,122.0,0.031967751,31008
490,122.0,0.032506028,31630
500,122.0,0.033186851,32264
510,123.0,0.034066259,32894
520,124.0,0.034669883,33527
530,122.0,0.035239988,34163
540,121.0,0.036126876,34796
550,121.0,0.036714135,35426
560,123.0,0.037389603,36062
570,122.0,0.037957378,36690
580,124.0,0.038540975,37320
590,126.0,0.039170964,37950
600,125.0,0.039891978,38575
610,125.0,0.040459794,39199
620,125.0,0.041001701,39829
630,126.0,0.041553122,40459
640,127.0,0.042128678,41081
650,126.0,0.042872185,41713
660,125.0,0.0442197,42340
670,125.0,0.045005538,42975
680,126.0,0.045592223,43603
690,126.0,0.046228464,44229
700,125.0,0.046787741,44864
710,124.0,0.047386253,45484
720,125.0,0.048033641,46107
730,125.0,0.048618316,46741
740,126.0,0.04919321,47362
750,125.0,0.049730651,47994
760,126.0,0.050263969,48625
770,126.0,0.050780755,49259
780,126.0,0.051611146,49884
790,125.0,0.052357228,50509
800,127.0,0.052955804,51149
810,126.0,0.053603614,51785
820,125.0,0.054250052,52406
830,126.0,0.054769019,53037
840,128.0,0.05528538,53667
850,127.0,0.05579381,54297
860,126.0,0.056294881,54928
870,125.0,0.056800676,55565
880,126.0,0.057314509,56191
890,127.0,0.057822381,56831
900,127.0,0.058361786,57470
910,127.0,0.058876666,58094
920,127.0,0.059383762,58711
930,127.0,0.059898152,59348
940,127.0,0.060733065,59975
950,128.0,0.061475061,60593
960,128.0,0.062007361,61224
970,128.0,0.062459091,61857
980,128.0,0.062993335,62488
990,128.0,0.063563195,63113
1000,128.0,0.064056066,63736
1010,128.0,0.064630916,64370
1020,127.0,0.065152798,65006
1030,128.0,0.06568268,65634
1040,128.0,0.066217087,66275
1050,129.0,0.066768737,66901
1060,127.0,0.067291186,67533
1070,128.0,0.067787423,68156
1080,127.0,0.068287105,68792
1090,127.0,0.068815067,69430
1100,127.0,0.069431165,70056
1110,127.0,0.069994588,70696
1120,126.0,0.070555042,71324
1130,126.0,0.071092866,71959
1140,126.0,0.071641134,72587
1150,127.0,0.072143544,73212
1160,127.0,0.072621327,73843
1170,127.0,0.073103435,74486
1180,125.0,0.073586495,75117
1190,126.0,0.074137223,75744
1200,126.0,0.074644148,76369
1210,127.0,0.075128871,77001
1220,128.0,0.075626909,77622
1230,126.0,0.076148982,78256
1240,127.0,0.076633475,78883
1250,127.0,0.077092297,79518
