iterations,fitness,time,fevals
0,15.0,2.27150000001e-05,11
10,15.0,3.823e-05,21
20,15.0,5.28610000001e-05,31
30,15.0,6.81130000002e-05,41
40,15.0,8.32520000001e-05,51
50,15.0,0.00010181,61
60,15.0,0.000150314,71
70,15.0,0.000171327,81
80,15.0,0.000188077,91
90,15.0,0.000204455,101
100,15.0,0.000218583,111
110,15.0,0.000236743,121
120,15.0,0.000250082,131
130,15.0,0.000264288,141
140,17.0,0.000278721,151
150,17.0,0.000293316,161
160,17.0,0.000306705,171
170,17.0,0.000321788,181
180,17.0,0.000334983,191
190,18.0,0.000348683,201
200,18.0,0.000369817,211
210,18.0,0.000385198,221
220,19.0,0.000400427,231
230,20.0,0.000414333,241
240,20.0,0.000428724,251
250,20.0,0.000441898,261
260,20.0,0.000458719,271
270,20.0,0.000472705,281
280,20.0,0.000486064,291
290,20.0,0.000499899,301
300,20.0,0.000534002,311
310,20.0,0.00055947,321
320,20.0,0.000579613,331
330,20.0,0.00060037,341
340,20.0,0.000621104,351
350,20.0,0.000641505,361
360,20.0,0.000662801,371
370,20.0,0.000713407,381
380,20.0,0.000735036,391
390,20.0,0.000750159,401
400,20.0,0.000767672,411
410,20.0,0.000789138,421
420,20.0,0.000827771,431
430,20.0,0.000870117,441
440,22.0,0.000887602,451
450,22.0,0.000902129,461
460,22.0,0.000924739,471
470,22.0,0.000940019,481
480,25.0,0.000954588,491
490,25.0,0.00096888,501
500,25.0,0.000981812,511
510,25.0,0.000996718,521
520,25.0,0.001010006,531
530,25.0,0.001023909,541
540,25.0,0.001068814,551
550,26.0,0.001081995,561
560,26.0,0.001104082,571
570,26.0,0.001118958,581
580,26.0,0.00113371,591
590,27.0,0.001147397,601
600,27.0,0.001160898,611
610,28.0,0.001177255,621
620,28.0,0.001191043,631
630,28.0,0.001203939,641
640,28.0,0.001216904,651
650,28.0,0.001232584,661
660,28.0,0.001245662,671
670,28.0,0.001258365,681
680,28.0,0.001271735,691
690,29.0,0.001286914,701
700,29.0,0.001299763,711
710,29.0,0.001310964,721
720,29.0,0.001323412,731
730,29.0,0.001335293,741
740,29.0,0.001350133,751
750,29.0,0.001362703,761
760,29.0,0.001378942,771
770,29.0,0.001392569,781
780,29.0,0.0014169,791
790,30.0,0.001462778,801
800,30.0,0.001502849,811
810,30.0,0.001523561,821
820,31.0,0.001545281,831
830,34.0,0.001565034,841
840,34.0,0.001588421,851
850,34.0,0.001606714,861
860,34.0,0.001620736,871
870,34.0,0.001634582,881
880,34.0,0.001650182,891
890,34.0,0.00166272,901
900,34.0,0.001675929,911
910,34.0,0.00168823,921
920,34.0,0.001701051,931
930,34.0,0.001714368,941
940,34.0,0.001727012,951
950,35.0,0.001763776,961
960,35.0,0.001775565,971
970,35.0,0.001787701,981
980,35.0,0.001802897,991
990,35.0,0.001814921,1001
1000,35.0,0.001827433,1011
1010,35.0,0.001839489,1021
1020,35.0,0.001853154,1031
1030,35.0,0.001867286,1041
1040,36.0,0.001900593,1051
1050,36.0,0.001914329,1061
1060,37.0,0.001929779,1071
1070,39.0,0.001958325,1081
1080,39.0,0.001974911,1091
1090,39.0,0.001991863,1101
1100,39.0,0.002004708,1111
1110,40.0,0.002022341,1121
1120,40.0,0.002038594,1131
1130,40.0,0.00205135,1141
1140,40.0,0.002068462,1151
1150,40.0,0.00208398,1161
1160,40.0,0.002103591,1171
1170,40.0,0.002119252,1181
1180,40.0,0.002133322,1191
1190,40.0,0.002145062,1201
1200,40.0,0.002157615,1211
1210,41.0,0.002169573,1221
1220,41.0,0.002186338,1231
1230,41.0,0.002200588,1241
1240,41.0,0.002249599,1251
1250,41.0,0.002264478,1261
1260,41.0,0.002281982,1271
1270,42.0,0.002301203,1281
1280,48.0,0.002318976,1291
1290,48.0,0.002337219,1301
1300,48.0,0.00235654,1311
1310,48.0,0.002370561,1321
1320,48.0,0.002384604,1331
1330,48.0,0.002397389,1341
1340,48.0,0.002409375,1351
1350,48.0,0.002421123,1361
1360,49.0,0.002433631,1371
1370,49.0,0.002445778,1381
1380,49.0,0.002457737,1391
1390,49.0,0.002469477,1401
1400,49.0,0.00248135,1411
1410,49.0,0.002493439,1421
1420,49.0,0.002505331,1431
1430,49.0,0.0025168,1441
1440,49.0,0.002534167,1451
1450,49.0,0.002546475,1461
1460,50.0,0.002558144,1471
1470,56.0,0.002570016,1481
1480,56.0,0.002582607,1491
1490,58.0,0.002597093,1501
1500,58.0,0.002610349,1511
1510,58.0,0.002622595,1521
1520,58.0,0.002642508,1531
1530,58.0,0.002660926,1541
1540,58.0,0.00267609,1551
1550,58.0,0.002691344,1561
1560,58.0,0.002704289,1571
1570,58.0,0.00271838,1581
1580,58.0,0.002737327,1591
1590,58.0,0.002751615,1601
1600,58.0,0.00276794,1611
1610,58.0,0.002796665,1621
1620,58.0,0.002852379,1631
1630,58.0,0.002865946,1641
1640,58.0,0.002881923,1651
1650,58.0,0.0028949,1661
1660,58.0,0.002910375,1671
1670,58.0,0.002922281,1681
1680,58.0,0.002948301,1691
1690,58.0,0.002962298,1701
1700,58.0,0.00297768,1711
1710,58.0,0.002989941,1721
1720,58.0,0.003010921,1731
1730,58.0,0.003060015,1741
1740,58.0,0.003108317,1751
1750,58.0,0.003126351,1761
1760,58.0,0.003144726,1771
1770,64.0,0.00318662,1781
1780,64.0,0.003227852,1791
1790,64.0,0.003251472,1801
1800,65.0,0.003297244,1811
1810,65.0,0.003321877,1821
1820,65.0,0.003364026,1831
1830,65.0,0.003380103,1841
1840,65.0,0.003394168,1851
1850,65.0,0.003409634,1861
1860,65.0,0.003422739,1871
1870,65.0,0.003439502,1881
1880,66.0,0.003451984,1891
1890,66.0,0.003471339,1901
1900,67.0,0.003483339,1911
1910,69.0,0.003497095,1921
1920,69.0,0.003537176,1931
1930,69.0,0.003550861,1941
1940,70.0,0.003570147,1951
1950,70.0,0.003583698,1961
1960,70.0,0.003596526,1971
1970,70.0,0.003610816,1981
1980,70.0,0.003626153,1991
1990,72.0,0.00364133,2001
2000,72.0,0.003657776,2011
2010,72.0,0.003671227,2021
2020,72.0,0.003687115,2031
2030,72.0,0.003698898,2041
2040,72.0,0.003710776,2051
2050,72.0,0.003722195,2061
2060,72.0,0.003736968,2071
2070,73.0,0.003751014,2081
2080,73.0,0.00376359,2091
2090,75.0,0.003784556,2101
2100,75.0,0.003802499,2111
2110,75.0,0.0038235,2121
2120,75.0,0.003865678,2131
2130,75.0,0.003887685,2141
2140,75.0,0.003937906,2151
2150,75.0,0.003964631,2161
2160,75.0,0.003988239,2171
2170,75.0,0.004034698,2181
2180,76.0,0.004054286,2191
2190,76.0,0.004070567,2201
2200,76.0,0.004086041,2211
2210,76.0,0.004118952,2221
2220,77.0,0.00413989,2231
2230,77.0,0.004155493,2241
2240,77.0,0.00417235,2251
2250,77.0,0.004191169,2261
2260,77.0,0.004210501,2271
2270,78.0,0.004226792,2281
2280,78.0,0.004241069,2291
2290,78.0,0.004260614,2301
2300,78.0,0.004281995,2311
2310,78.0,0.004298368,2321
2320,78.0,0.004314039,2331
2330,78.0,0.004344391,2341
2340,78.0,0.00435947,2351
2350,78.0,0.00437882,2361
2360,78.0,0.00439881,2371
2370,78.0,0.004421794,2381
2380,78.0,0.004445674,2391
2390,78.0,0.004465017,2401
2400,78.0,0.004487629,2411
2410,78.0,0.004519551,2421
2420,78.0,0.004587676,2431
2430,78.0,0.004903975,2441
2440,78.0,0.004931435,2451
2450,78.0,0.004952569,2461
2460,78.0,0.004971806,2471
2470,79.0,0.004991538,2481
2480,79.0,0.005012856,2491
2490,80.0,0.005032486,2501
2500,80.0,0.005066818,2511
2510,80.0,0.005085713,2521
2520,80.0,0.005103628,2531
2530,80.0,0.005123107,2541
2540,80.0,0.005141326,2551
2550,80.0,0.005159948,2561
2560,80.0,0.005179394,2571
2570,80.0,0.005201693,2581
2580,80.0,0.005217363,2591
2590,80.0,0.005239113,2601
2600,80.0,0.005258884,2611
2610,80.0,0.00528406,2621
2620,80.0,0.00530876,2631
2630,80.0,0.005329931,2641
2640,80.0,0.005348802,2651
2650,81.0,0.005399977,2661
2660,81.0,0.005440127,2671
2670,81.0,0.005478931,2681
2680,81.0,0.005498035,2691
