iterations,fitness,time,fevals
0,119.0,0.000639463999999,554
10,121.0,0.001122816,983
20,121.0,0.001658885,1424
30,123.0,0.002118168,1878
40,124.0,0.002598778,2329
50,125.0,0.003274899,2774
60,125.0,0.00471047,3236
70,125.0,0.005262657,3682
80,124.0,0.00572568,4130
90,127.0,0.006206242,4576
100,127.0,0.00673192,5030
110,127.0,0.00721825,5477
120,126.0,0.007676681,5936
130,126.0,0.008256487,6391
140,125.0,0.008776291,6851
150,126.0,0.009536945,7310
160,126.0,0.010063906,7760
170,128.0,0.010568673,8216
180,127.0,0.011074128,8676
190,127.0,0.011571436,9126
200,129.0,0.01213671,9585
210,129.0,0.0128205,10027
220,129.0,0.013326785,10477
230,129.0,0.013807623,10927
240,129.0,0.01441371,11385
250,130.0,0.015217982,11836
260,132.0,0.015799412,12288
270,132.0,0.016409685,12756
280,128.0,0.017098882,13215
290,129.0,0.01759407,13660
300,130.0,0.018105854,14112
310,129.0,0.018588613,14562
320,128.0,0.019064235,15004
330,130.0,0.019552231,15449
340,130.0,0.020378766,15904
350,133.0,0.021060686,16351
360,128.0,0.021548034,16815
370,132.0,0.022027907,17276
380,132.0,0.022723104,17728
390,130.0,0.023318448,18192
400,132.0,0.023866557,18653
410,131.0,0.024471597,19106
420,132.0,0.025125008,19558
430,131.0,0.025804756,20019
440,130.0,0.026395141,20489
450,130.0,0.026895126,20938
460,131.0,0.027421872,21392
470,131.0,0.028007341,21849
480,130.0,0.028560945,22303
490,131.0,0.029201191,22760
500,131.0,0.029738997,23218
510,131.0,0.030174806,23666
520,131.0,0.030735549,24118
530,131.0,0.031245595,24582
540,130.0,0.031723964,25041
550,131.0,0.032179704,25491
560,130.0,0.032662203,25945
570,131.0,0.033200512,26408
580,131.0,0.033697966,26864
590,131.0,0.034210503,27339
600,129.0,0.034705098,27790
610,130.0,0.035219335,28255
620,129.0,0.035767717,28707
630,129.0,0.036674402,29160
640,129.0,0.037271634,29614
650,129.0,0.037813502,30071
660,130.0,0.038580583,30522
670,130.0,0.039095291,30977
680,130.0,0.039572072,31439
690,131.0,0.04002503,31891
700,132.0,0.040461682,32345
710,131.0,0.040915934,32820
720,131.0,0.041430758,33284
730,132.0,0.042092338,33725
740,131.0,0.042570184,34182
750,130.0,0.043025098,34632
760,132.0,0.043461822,35093
770,132.0,0.043905593,35567
780,129.0,0.044489898,36023
790,130.0,0.04566561,36483
800,131.0,0.046234341,36943
810,130.0,0.046896561,37389
820,129.0,0.047493849,37828
830,129.0,0.048025519,38278
840,128.0,0.048488742,38725
850,129.0,0.04898501,39180
860,129.0,0.04958446,39642
870,128.0,0.050094368,40095
880,128.0,0.05061369,40560
890,126.0,0.051102408,41019
900,126.0,0.051545938,41482
910,126.0,0.051987874,41934
920,127.0,0.052550945,42389
930,127.0,0.05403155,42851
940,128.0,0.054582855,43303
950,129.0,0.055170726,43748
