iterations,fitness,time,fevals
0,555.0,10.227206205,1000
10,589.0,20.175115267,2100
20,643.0,29.204734969,3200
30,679.0,37.456373301,4300
40,713.0,45.029770411,5400
50,731.0,52.078462031,6500
60,739.0,59.016915146,7600
70,741.0,65.860997441,8700
80,745.0,72.596349086,9800
90,747.0,79.915405675,10900
100,743.0,87.157027836,12000
110,743.0,93.689036439,13100
120,741.0,100.307781722,14200
130,743.0,106.872327254,15300
140,743.0,113.401409264,16400
150,741.0,119.943481981,17500
160,745.0,126.482829972,18600
170,743.0,132.942758023,19700
180,745.0,139.418812054,20800
190,741.0,145.957406602,21900
200,747.0,152.442321465,23000
210,743.0,158.889407915,24100
220,743.0,165.475711689,25200
230,743.0,171.908852768,26300
240,743.0,178.308920045,27400
250,743.0,184.875229897,28500
260,745.0,191.431288134,29600
270,745.0,197.979256777,30700
280,745.0,204.524024139,31800
290,747.0,211.126147964,32900
300,747.0,217.67486542,34000
310,743.0,224.284968736,35100
320,745.0,230.77258562,36200
330,743.0,236.890036305,37300
340,744.0,243.067729146,38400
350,745.0,249.602701706,39500
360,745.0,256.135723659,40600
370,745.0,262.640491279,41700
380,745.0,269.182437361,42800
390,745.0,275.784814779,43900
400,745.0,282.490812216,45000
410,747.0,289.174078799,46100
420,743.0,296.047088667,47200
430,745.0,302.822351126,48300
440,745.0,309.383855594,49400
450,745.0,315.886213125,50500
460,745.0,322.342224334,51600
470,743.0,328.795440396,52700
480,745.0,335.221147114,53800
490,747.0,341.714967858,54900
500,745.0,348.26894202,56000
510,747.0,354.770642375,57100
520,747.0,361.29468518,58200
530,745.0,367.849962502,59300
540,745.0,374.390026898,60400
550,747.0,381.031791866,61500
560,743.0,387.65215187,62600
570,745.0,394.004813873,63700
580,747.0,400.581153915,64800
590,745.0,407.137062894,65900
600,745.0,413.829899667,67000
610,747.0,420.222598399,68100
620,745.0,426.771206379,69200
630,745.0,433.347797131,70300
640,747.0,439.944129619,71400
650,745.0,446.514020979,72500
660,743.0,453.087935495,73600
670,745.0,459.6788883,74700
680,745.0,466.606995508,75800
690,747.0,474.633519013,76900
700,745.0,481.249412436,78000
710,745.0,487.829376012,79100
720,745.0,494.423074767,80200
730,743.0,501.04633142,81300
740,743.0,507.83754147,82400
750,745.0,514.655184984,83500
760,745.0,521.350898688,84600
770,745.0,528.111590655,85700
780,749.0,535.11664888,86800
790,745.0,541.872442241,87900
800,747.0,548.46676692,89000
810,745.0,554.983607867,90100
820,743.0,561.401561469,91200
830,745.0,567.968886909,92300
840,745.0,574.545482605,93400
850,745.0,581.138525242,94500
860,747.0,587.80802804,95600
870,745.0,594.323428605,96700
880,745.0,600.93416186,97800
890,743.0,607.463410875,98900
900,749.0,613.945246335,100000
910,745.0,620.318033262,101100
920,743.0,626.875386747,102200
930,745.0,633.26866536,103300
940,747.0,639.658743494,104400
950,745.0,646.037530773,105500
960,745.0,652.614046736,106600
970,745.0,659.139940856,107700
980,743.0,665.674636294,108800
990,745.0,672.079430758,109900
1000,745.0,678.418655871,111000
1010,747.0,684.98868866,112100
1020,745.0,691.64580748,113200
1030,747.0,698.277443819,114300
1040,745.0,705.300597747,115400
1050,745.0,711.958892797,116500
1060,743.0,718.579941833,117600
1070,745.0,725.181662277,118700
1080,747.0,731.743504492,119800
1090,745.0,738.253800926,120900
1100,743.0,744.691696598,122000
1110,743.0,751.176613133,123100
1120,745.0,757.69602593,124200
1130,745.0,764.170223792,125300
1140,747.0,770.758012469,126400
1150,745.0,777.349446844,127500
1160,743.0,783.759579168,128600
1170,745.0,790.201993527,129700
1180,745.0,796.602515665,130800
1190,745.0,802.994136916,131900
1200,745.0,809.417808568,133000
1210,747.0,815.783459265,134100
1220,745.0,822.134927147,135200
1230,745.0,828.543619559,136300
1240,745.0,834.960843581,137400
1250,745.0,841.35616975,138500
1260,745.0,847.731138952,139600
1270,745.0,853.716921412,140700
1280,745.0,860.146139566,141800
1290,745.0,866.701662469,142900
1300,745.0,873.223137157,144000
1310,745.0,879.602996601,145100
1320,747.0,886.261434832,146200
1330,747.0,892.894466532,147300
1340,747.0,899.151254799,148400
1350,745.0,905.705581591,149500
1360,747.0,912.364238105,150600
1370,745.0,918.830405664,151700
1380,745.0,925.361540742,152800
1390,745.0,932.75019101,153900
1400,743.0,940.122171403,155000
1410,747.0,946.658641007,156100
1420,745.0,953.227556647,157200
1430,745.0,959.643851027,158300
1440,745.0,966.109035988,159400
1450,743.0,972.339912127,160500
1460,745.0,978.419098917,161600
1470,745.0,984.879333504,162700
1480,745.0,991.19849541,163800
1490,745.0,997.667413793,164900
1500,747.0,1004.14052814,166000
1510,747.0,1010.6317051,167100
1520,745.0,1017.17980925,168200
1530,745.0,1023.69311926,169300
1540,745.0,1030.18679606,170400
1550,749.0,1036.66945627,171500
1560,747.0,1044.28696886,172600
1570,745.0,1050.76639691,173700
1580,747.0,1057.23764003,174800
1590,743.0,1063.61047889,175900
1600,745.0,1070.07598499,177000
1610,747.0,1076.55473484,178100
1620,749.0,1083.0386968,179200
1630,743.0,1089.42101977,180300
1640,745.0,1095.8782654,181400
1650,745.0,1102.61018187,182500
1660,745.0,1109.14392439,183600
1670,743.0,1115.66645191,184700
1680,745.0,1122.17685227,185800
1690,745.0,1128.71667894,186900
1700,747.0,1135.28834824,188000
1710,745.0,1141.8775085,189100
1720,749.0,1148.58551479,190200
1730,745.0,1154.82257073,191300
1740,747.0,1161.26233923,192400
1750,747.0,1167.72417727,193500
1760,747.0,1174.20163672,194600
1770,747.0,1180.77786752,195700
1780,747.0,1187.42775172,196800
1790,745.0,1194.09037978,197900
1800,749.0,1200.48229246,199000
1810,747.0,1206.67546544,200100
1820,747.0,1212.85855432,201200
1830,747.0,1219.268784,202300
1840,745.0,1225.69663024,203400
1850,747.0,1232.18050994,204500
1860,747.0,1238.68432331,205600
1870,747.0,1245.22327347,206700
1880,747.0,1251.7687592,207800
1890,745.0,1258.26537773,208900
1900,745.0,1264.75412438,210000
1910,749.0,1272.24589774,211100
1920,747.0,1279.01486969,212200
1930,747.0,1285.54995458,213300
1940,749.0,1292.0372773,214400
1950,747.0,1298.50466569,215500
1960,751.0,1304.70015294,216600
1970,749.0,1311.34066838,217700
1980,749.0,1317.90103335,218800
1990,747.0,1324.35640503,219900
2000,747.0,1330.77942708,221000
2010,749.0,1337.09799043,222100
2020,749.0,1343.22396131,223200
2030,753.0,1349.57739368,224300
2040,751.0,1355.83454915,225400
2050,751.0,1362.17081971,226500
2060,751.0,1368.50644401,227600
2070,751.0,1375.01404746,228700
2080,751.0,1381.48443867,229800
2090,751.0,1388.09662555,230900
