iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.188391500714,0.191993225912,0.188615841843,0.399153362576,0.401515310585,0.404047333337,3.116366412
10,0.188384761449,0.191986017327,0.188608522091,0.39919277921,0.401515310585,0.404047333337,31.792601631
20,0.186807305777,0.190450847503,0.187062598828,0.400395009976,0.399589564013,0.404314795395,61.211436996
30,0.186547928868,0.190165252996,0.18682050536,0.39999428201,0.399741494019,0.404678586912,86.19338719
40,0.186582465033,0.190242833271,0.18679280612,0.39999428201,0.399583864763,0.404752148777,110.786192015
50,0.186095795073,0.189434188229,0.186267432262,0.384516152618,0.378774853229,0.392960723974,133.725561537
60,0.185120061806,0.188448438147,0.185284227069,0.380922724182,0.37715866592,0.389528664433,157.472954925
70,0.182576343953,0.185959921283,0.182647445258,0.38625451522,0.377898368575,0.392432300218,182.341879491
80,0.181045311253,0.184407583673,0.181170803708,0.386183602774,0.381191485201,0.391727386782,206.62414209
90,0.178742033288,0.18203077865,0.178914390468,0.388081553531,0.381936887106,0.391154865105,231.119382125
100,0.179326748757,0.182740003863,0.179549977647,0.387686074867,0.380670153808,0.389606048118,253.390470821
110,0.176175981895,0.17946786178,0.176392736602,0.391316389024,0.38410380194,0.394430328028,274.943048364
120,0.175063712133,0.178275005521,0.17534124174,0.392042995533,0.385181560107,0.396847155429,296.304878027
130,0.171233829741,0.174508095445,0.171565068182,0.386911193527,0.382431522012,0.393829485686,317.620732216
140,0.170868349408,0.174131951697,0.171236021351,0.387183172987,0.383534926804,0.394710888802,338.277969464
150,0.169621879462,0.172783817602,0.170009194502,0.390174244018,0.386678963048,0.397944932345,356.051627173
160,0.169142545024,0.172306733119,0.169497577954,0.391079514271,0.386833742679,0.39867787246,375.860239558
170,0.168257471315,0.171316684924,0.168598653835,0.39062952723,0.389825848918,0.398518695297,395.129494
180,0.167038125519,0.169981109113,0.167364221382,0.393504316848,0.392347917014,0.401015780915,411.730529595
190,0.166981335615,0.169969244688,0.167356905708,0.393822274569,0.391084033341,0.400574409722,430.665973198
200,0.164004573914,0.166901334514,0.164447010074,0.398545052838,0.395016215866,0.40283741704,449.5810105
210,0.162426925118,0.165226720962,0.162908372443,0.398357858978,0.394514831848,0.404288565298,469.599015248
220,0.162421893235,0.165271868655,0.162902762756,0.3995107838,0.394838639235,0.404885095843,489.100245552
230,0.16211740419,0.164906891677,0.162613464468,0.39871195252,0.394354352967,0.404653696085,507.793069836
240,0.161455243835,0.164233446388,0.161992811856,0.399537733342,0.396082575533,0.4053866362,525.908780737
250,0.161052593995,0.163617837713,0.161505646905,0.398497152957,0.397174581825,0.405378600579,545.685539716
