iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.138977541391,0.138074229211,0.139550894672,0.585496975324,0.598067744285,0.586985566718,1.426815448
10,0.138087833107,0.137102763623,0.138515738837,0.582783836087,0.595193372552,0.58452320413,15.87066296
20,0.140937685047,0.139944514177,0.141476722784,0.582139343659,0.593966534004,0.583669925688,30.737970498
30,0.139604693967,0.13851008293,0.140126077156,0.581963304567,0.595998616582,0.583794281826,45.482214726
40,0.139851256926,0.13890813414,0.140426578257,0.581894969903,0.591900255926,0.583954798259,60.266258399
50,0.139608925052,0.138797071808,0.140214534576,0.582176135642,0.594599900653,0.584699791806,75.231877662
60,0.13873362053,0.137738036253,0.138943907443,0.586299087418,0.598718208684,0.58647866928,90.39274031
70,0.139865145831,0.139112432604,0.14030001639,0.592866479785,0.600348644118,0.592065451245,103.479991163
80,0.140076444954,0.139522599228,0.140606866846,0.593901810869,0.600354343368,0.593106031524,117.253377162
90,0.139554419826,0.138800873697,0.140070629237,0.590515308043,0.599380071583,0.590055174012,130.387236754
100,0.141658930615,0.141269234978,0.142088660666,0.589958178998,0.596734569731,0.589207252651,143.190764151
110,0.141245360937,0.140824309418,0.141652295994,0.587851381012,0.595611217564,0.587939290425,156.556550107
120,0.135477536437,0.134516877437,0.135713290568,0.584251484685,0.590080845361,0.58536442914,169.559524711
130,0.135429002598,0.134475049559,0.135673891229,0.584330317953,0.590396103873,0.585511552871,182.902869337
140,0.135323048021,0.134337486177,0.135577597261,0.584447911692,0.590553733129,0.585879362199,195.546371607
150,0.135314029828,0.134339627474,0.135569805255,0.584487328326,0.590711362385,0.585879362199,208.560742699
160,0.132436141467,0.131377642782,0.132877152531,0.587477743194,0.591800519052,0.589039843876,221.538094902
170,0.131990428191,0.131003841804,0.132461610204,0.587431764933,0.591797669427,0.588443313331,234.788905436
180,0.125037498637,0.123503380637,0.125583127642,0.580746872564,0.585175290932,0.584193939652,247.892841445
190,0.124671261144,0.123053783595,0.125199352478,0.579825198243,0.585952038712,0.58099863695,260.952909787
200,0.124519462834,0.12287773879,0.125010620617,0.579942791982,0.586267297224,0.581219322546,274.898130801
210,0.123560439858,0.12188830849,0.12410040913,0.5798101065,0.587516932772,0.58246585645,285.96968302
