iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.123550978193,0.123463215001,0.12350408416,0.5,0.5,0.499852876269,107.133890637
10,0.104628773483,0.105187019578,0.10444551241,0.5213505048,0.518269845688,0.519055397703,1039.70164887
20,0.112537367438,0.112715987242,0.112433080158,0.500288383529,0.500014248125,0.499646922645,1666.9506808
30,0.116820958281,0.117623027641,0.117035190114,0.498132935761,0.499082720714,0.499370085695,2265.668342
40,0.150428657797,0.148659164673,0.151270812497,0.433991011508,0.440048839573,0.42155963045,2862.48508703
50,0.102005845976,0.103464372875,0.101843450221,0.506037259733,0.504622541674,0.505860940374,3441.36697921
60,0.12212964807,0.122006195886,0.122072266247,0.499960583366,0.5,0.5,4048.17861961
70,0.0993046669798,0.0996812219735,0.0992388327932,0.541178571412,0.544281672532,0.537561433304,4634.04389292
80,0.141894559698,0.143850992519,0.141143414058,0.631146545983,0.630065733349,0.625318876968,5220.89689512
90,0.0980268555464,0.099397007428,0.0965409072008,0.63899514299,0.643144012248,0.647473607231,5781.54033212
100,0.0820436165507,0.0851519865608,0.0809317796083,0.670428807045,0.664004167052,0.677356841162,6332.43708562
110,0.0853369923023,0.0890672044244,0.0840063754175,0.66574544541,0.651356781448,0.665556139463,6883.66493422
120,0.0890858586683,0.0905969491713,0.0888392173206,0.644232540329,0.638921167974,0.639911075072,7490.13819555
130,0.0782466581285,0.0829566354239,0.078711028851,0.659636007775,0.645714373988,0.655920678358,8130.03510092
140,0.0853413009471,0.0880164183243,0.0854090447067,0.656828146757,0.651199152192,0.653049185057,8762.90284093
150,0.0813524899571,0.0833455848328,0.0812120551767,0.628899797855,0.623329069894,0.628368166553,9392.44310169
160,0.0841535694445,0.0885117911722,0.0836833380315,0.681814730573,0.66559095823,0.681414993189,9995.50045783
170,0.0818623202981,0.0837552822715,0.0815235911559,0.59878309931,0.593483897519,0.602273499358,10581.6430329
180,0.0830435415383,0.085119407128,0.082586002315,0.611106585671,0.602889459747,0.606089439469,11234.1778463
190,0.0802413176807,0.0832761777171,0.0798280364056,0.625015361239,0.612825802124,0.625069838041,11895.6368315
200,0.0781499596383,0.0821076605735,0.0784511659376,0.636502615043,0.617895584941,0.634746620531,12560.3127544
210,0.0803591746175,0.0837464756945,0.0808779610434,0.624026664579,0.613943455041,0.624627127578,13186.9538046
220,0.0823231294885,0.0841946389308,0.0823044959744,0.600587031318,0.604271077926,0.602146464679,13809.4119922
230,0.0809151088031,0.0842679124014,0.0815743723904,0.613397390441,0.601562884324,0.611288225058,14436.8730556
240,0.0813649024716,0.084257841644,0.0815157272262,0.598983510161,0.600580063664,0.599650620337,15076.1855434
250,0.0819390180947,0.0847948526832,0.0823664651083,0.603324542315,0.598221324074,0.604775942056,15730.8191888
260,0.0826796662516,0.0856530010615,0.0832947602826,0.591292767165,0.583258843136,0.589240799736,16399.4653539
270,0.0807312839885,0.0840806177224,0.0807331695513,0.655835513122,0.64770851156,0.657183381499,17057.4472984
280,0.0807183606534,0.0838770174179,0.0811822220755,0.605884655025,0.59996094514,0.604984574221,17764.4429743
290,0.0806214919741,0.0838151712459,0.0809517299554,0.657883209592,0.648009521947,0.656133426329,18410.1572048
300,0.0800641464865,0.0835133133524,0.0803358392909,0.644025802194,0.636675363522,0.643186342005,19042.8595417
310,0.0807061764505,0.0844176565359,0.0810795799524,0.658952708007,0.650548687793,0.657543155206,19678.5788059
320,0.0810843244564,0.0842966606574,0.0815344602752,0.596200114641,0.59023442515,0.599151660525,20296.272482
330,0.079600524429,0.0832745492259,0.0798456186931,0.637945235719,0.625209222466,0.638321785993,20928.0362401
340,0.0812031009523,0.0845161399737,0.0818400454413,0.605016832918,0.595358350841,0.603224446529,21508.6621335
